KMX,https://www.sec.gov/Archives/edgar/data/1170010/000117001018000146/q1fy1910-q.htm
CCL,https://www.sec.gov/Archives/edgar/data/815097/000081509718000026/q2201810-q.htm
CAT,https://www.sec.gov/Archives/edgar/data/18230/000001823018000229/cat_10qx6302018.htm
CBOE,https://www.sec.gov/Archives/edgar/data/1374310/000155837018006293/cboe-20180630x10q.htm
CBRE,https://www.sec.gov/Archives/edgar/data/1138118/000156459018020899/cbg-10q_20180630.htm
CBS,https://www.sec.gov/Archives/edgar/data/813828/000081382818000036/cbs_10q-063018.htm
CELG,https://www.sec.gov/Archives/edgar/data/816284/000081628418000016/a2018063010q.htm
CNC,https://www.sec.gov/Archives/edgar/data/1071739/000107173918000097/form10-q.htm
CTL,https://www.sec.gov/Archives/edgar/data/18926/000001892618000023/ctl2018063010q.htm
CERN,https://www.sec.gov/Archives/edgar/data/804753/000080475318000033/q2201810-q.htm
CF,https://www.sec.gov/Archives/edgar/data/1324404/000132440418000019/cf-06302018x10q.htm
SCHW,https://www.sec.gov/Archives/edgar/data/316709/000031670918000040/schw-06302018x10q.htm
CHTR,https://www.sec.gov/Archives/edgar/data/1091667/000109166718000090/chtr6302018-10q.htm
CVX,https://www.sec.gov/Archives/edgar/data/93410/000009341018000029/cvx06302018-10qdoc.htm
CMG,https://www.sec.gov/Archives/edgar/data/1058090/000105809018000047/cmg-20180630x10q.htm
CB,https://www.sec.gov/Archives/edgar/data/896159/000089615918000013/cb-63018x10q.htm
CHD,https://www.sec.gov/Archives/edgar/data/313927/000156459018018766/chd-10q_20180630.htm
XEC,https://www.sec.gov/Archives/edgar/data/1168054/000116805418000021/a20180630xec10-qdoc.htm
CINF,https://www.sec.gov/Archives/edgar/data/20286/000002028618000047/cinf-2018630x10q.htm
CTAS,https://www.sec.gov/Archives/edgar/data/723254/000072325418000006/ctas-2018x228x10xq.htm
CSCO,https://www.sec.gov/Archives/edgar/data/858877/000085887718000007/a10qq3fy18.htm
CFG,https://www.sec.gov/Archives/edgar/data/759944/000075994418000067/citizens10-qxq22018.htm
CTXS,https://www.sec.gov/Archives/edgar/data/877890/000087789018000117/ctxs06-30x201810xq.htm
CME,https://www.sec.gov/Archives/edgar/data/1156375/000115637518000083/cme-201863010q.htm
CMS,https://www.sec.gov/Archives/edgar/data/201533/000081115618000003/consumersenergy10q06302018.htm
KO,https://www.sec.gov/Archives/edgar/data/21344/000002134418000032/a2018062910-q.htm
CTSH,https://www.sec.gov/Archives/edgar/data/1058290/000105829018000028/ctsh2018630-10q.htm
CL,https://www.sec.gov/Archives/edgar/data/21665/000002166518000015/cl-6302018x10q.htm
CMCSA,https://www.sec.gov/Archives/edgar/data/902739/000116669118000019/cmcsa-6302018x10q.htm
CMA,https://www.sec.gov/Archives/edgar/data/28412/000002841218000146/cma-2018q210q.htm
CXO,https://www.sec.gov/Archives/edgar/data/1358071/000135807118000014/cxo_2Q18_10Q.htm
COP,https://www.sec.gov/Archives/edgar/data/1163165/000119312518232659/d586006d10q.htm
ED,https://www.sec.gov/Archives/edgar/data/23632/000104786218000154/ed-20180630x10q.htm
STZ,https://www.sec.gov/Archives/edgar/data/16918/000001691818000046/stz531201810q.htm
COO,https://www.sec.gov/Archives/edgar/data/711404/000071140418000035/coo_2018x07x31x10qq32018.htm
CPRT,https://www.sec.gov/Archives/edgar/data/900075/000090007518000025/cprt04302018-10q.htm
GLW,https://www.sec.gov/Archives/edgar/data/24741/000002474118000045/glw-20180630x10q.htm
COST,https://www.sec.gov/Archives/edgar/data/909832/000090983218000008/cost10q51318.htm
COTY,https://www.sec.gov/Archives/edgar/data/1024305/000102430518000015/coty033118-10q.htm
CCI,https://www.sec.gov/Archives/edgar/data/1051470/000105147018000156/crowncastle10q063018.htm
CSX,https://www.sec.gov/Archives/edgar/data/277948/000027794818000040/csx06301810-q.htm
CMI,https://www.sec.gov/ix?doc=/Archives/edgar/data/26172/000002617218000039/cmi2018q210-qdoc.htm
CVS,https://www.sec.gov/Archives/edgar/data/64803/000155837018006683/cvs-20180630x10q.htm
DHI,https://www.sec.gov/Archives/edgar/data/882184/000088218418000083/a630201810q.htm
DHR,https://www.sec.gov/Archives/edgar/data/313616/000031361618000116/dhr-2018629x10q.htm
DRI,https://www.sec.gov/Archives/edgar/data/940944/000094094418000038/q3fy1810-q.htm
DVA,https://www.sec.gov/Archives/edgar/data/927066/000092706618000165/dva-63018x10q.htm
DE,https://www.sec.gov/Archives/edgar/data/315189/000155837018007303/de-20180729x10q.htm
DAL,https://www.sec.gov/ix?doc=/Archives/edgar/data/27904/000002790418000016/dal630201810q.htm
XRAY,https://www.sec.gov/Archives/edgar/data/818479/000081847918000035/dentsplysirona10-q22018.htm
DVN,https://www.sec.gov/Archives/edgar/data/1090012/000156459018018317/dvn-10q_20180630.htm
DLR,https://www.sec.gov/Archives/edgar/data/1297996/000129799618000130/dlr630201810-q.htm
DFS,https://www.sec.gov/Archives/edgar/data/1393612/000139361218000039/dfs630201810q.htm
DISCA,https://www.sec.gov/Archives/edgar/data/1437107/000143710718000076/disca-2018063010q.htm
DISCK,https://www.sec.gov/Archives/edgar/data/1437107/000143710718000076/disca-2018063010q.htm
DISH,https://www.sec.gov/Archives/edgar/data/1001082/000155837018006285/dish-20180630x10q.htm
DG,https://www.sec.gov/Archives/edgar/data/29534/000155837018007294/dg-20180803x10q.htm
DLTR,https://www.sec.gov/Archives/edgar/data/935703/000093570318000045/dltr-2018x08x04x10q.htm
D,https://www.sec.gov/Archives/edgar/data/103682/000156459018018690/d-10q_20180630.htm
DOV,https://www.sec.gov/Archives/edgar/data/29905/000002990518000043/a2018063010-q.htm
DWDP,https://www.sec.gov/Archives/edgar/data/1666700/000166670018000041/dowdupont2q18063018.htm
DTE,https://www.sec.gov/Archives/edgar/data/28385/000093634018000187/dteenergy2018063010q.htm
